Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,4.31,89,0.69,3.62
AL-003,Baldwin County,5.18,72,-0.63,5.81
AL-005,Barbour County,13.51,126,9.67,3.84
AL-007,Bibb County,2.35,48,-1.09,3.44
AL-009,Blount County,2.53,47,-1.1,3.63
AL-011,Bullock County,11.17,126,7.59,3.58
AL-013,Butler County,6.81,110,2.85,3.96
AL-015,Calhoun County,3.52,75,0.06,3.46
AL-017,Chambers County,5.65,111,2.23,3.42
AL-019,Cherokee County,4.11,83,0.68,3.43
AL-021,Chilton County,3.55,77,0,3.55
AL-023,Choctaw County,1.92,29,-1.87,3.79
AL-025,Clarke County,3.17,64,-0.7,3.87
AL-027,Clay County,3.03,55,-0.62,3.65
AL-029,Cleburne County,4.19,87,0.75,3.44
AL-031,Coffee County,12.79,125,8.44,4.35
AL-033,Colbert County,4.64,97,1.38,3.26
AL-035,Conecuh County,7.13,107,2.86,4.27
AL-037,Coosa County,3.86,75,0.21,3.65
AL-039,Covington County,11.89,124,7.35,4.54
AL-041,Crenshaw County,9.35,122,5.38,3.97
AL-043,Cullman County,4.78,92,1.15,3.63
AL-045,Dale County,13.8,125,9.5,4.3
AL-047,Dallas County,3.17,66,-0.3,3.47
AL-049,DeKalb County,3.99,77,0.48,3.51
AL-051,Elmore County,5.29,106,1.59,3.7
AL-053,Escambia County,6.28,95,1.56,4.72
AL-055,Etowah County,3.68,73,0.08,3.6
AL-057,Fayette County,2.88,58,-0.57,3.45
AL-059,Franklin County,4.73,94,1.39,3.34
AL-061,Geneva County,14.96,125,10.28,4.68
AL-063,Greene County,1.94,39,-1.26,3.2
AL-065,Hale County,1.88,33,-1.36,3.24
AL-067,Henry County,14.69,126,10.62,4.07
AL-069,Houston County,16.06,125,11.62,4.44
AL-071,Jackson County,5.3,100,1.76,3.54
AL-073,Jefferson County,1.7,28,-1.84,3.54
AL-075,Lamar County,3.26,67,-0.03,3.29
AL-077,Lauderdale County,4.34,91,1.04,3.3
AL-079,Lawrence County,5.33,100,1.97,3.36
AL-081,Lee County,7.83,124,4.37,3.46
AL-083,Limestone County,4.31,91,0.95,3.36
AL-085,Lowndes County,4.55,92,0.86,3.69
AL-087,Macon County,8.63,125,5.14,3.49
AL-089,Madison County,4.36,87,0.89,3.47
AL-091,Marengo County,2.03,34,-1.39,3.42
AL-093,Marion County,4.07,84,0.7,3.37
AL-095,Marshall County,4.45,91,0.9,3.55
AL-097,Mobile County,4.7,64,-0.94,5.64
AL-099,Monroe County,4.6,88,0.61,3.99
AL-101,Montgomery County,6.19,110,2.55,3.64
AL-103,Morgan County,4.97,97,1.54,3.43
AL-105,Perry County,2.48,54,-0.86,3.34
AL-107,Pickens County,2.36,54,-0.81,3.17
AL-109,Pike County,12.2,125,8.24,3.96
AL-111,Randolph County,4.13,82,0.62,3.51
AL-113,Russell County,9.53,125,6.18,3.35
AL-115,St. Clair County,2.62,51,-1.15,3.77
AL-117,Shelby County,2.42,44,-1.14,3.56
AL-119,Sumter County,1.97,36,-1.3,3.27
AL-121,Talladega County,2.75,55,-0.77,3.52
AL-123,Tallapoosa County,5.57,106,2.04,3.53
AL-125,Tuscaloosa County,1.81,34,-1.57,3.38
AL-127,Walker County,3.39,67,-0.08,3.47
AL-129,Washington County,2.79,46,-1.56,4.35
AL-131,Wilcox County,3.6,77,0.03,3.57
AL-133,Winston County,5.16,99,1.65,3.51
AZ-001,Apache County,0.35,15,-1,1.35
AZ-003,Cochise County,0.22,7,-1.28,1.5
AZ-005,Coconino County,0.06,7,-1.17,1.23
