Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,75.6,72,0.2,75.4
AL-003,Baldwin County,77.8,77,0.5,77.3
AL-005,Barbour County,74.3,34,-1.6,75.9
AL-007,Bibb County,74.3,57,-0.4,74.7
AL-009,Blount County,72.6,66,0,72.6
AL-011,Bullock County,74.2,43,-1.3,75.5
AL-013,Butler County,75.3,61,-0.4,75.7
AL-015,Calhoun County,72.8,63,0,72.8
AL-017,Chambers County,72.8,59,-0.3,73.1
AL-019,Cherokee County,71.6,45,-1.2,72.8
AL-021,Chilton County,74.4,69,0,74.4
AL-023,Choctaw County,76.4,76,0.8,75.6
AL-025,Clarke County,76.3,74,0.5,75.8
AL-027,Clay County,72.4,76,0.3,72.1
AL-029,Cleburne County,71.6,68,0,71.6
AL-031,Coffee County,75.7,50,-0.7,76.4
AL-033,Colbert County,71.5,49,-0.8,72.3
AL-035,Conecuh County,75.8,59,-0.6,76.4
AL-037,Coosa County,74,71,0.2,73.8
AL-039,Covington County,76.2,60,-0.4,76.6
AL-041,Crenshaw County,75,52,-0.6,75.6
AL-043,Cullman County,71.7,53,-0.7,72.4
AL-045,Dale County,75.6,44,-1,76.6
AL-047,Dallas County,76.1,75,0.4,75.7
AL-049,DeKalb County,70.3,48,-1.1,71.4
AL-051,Elmore County,75.2,62,-0.1,75.3
AL-053,Escambia County,76.3,59,-0.4,76.7
AL-055,Etowah County,72.3,54,-0.6,72.9
AL-057,Fayette County,73.4,48,-0.8,74.2
AL-059,Franklin County,71.1,46,-1.1,72.2
AL-061,Geneva County,76.7,62,-0.2,76.9
AL-063,Greene County,75.8,68,0,75.8
AL-065,Hale County,75.2,54,-0.4,75.6
AL-067,Henry County,75.4,39,-1.1,76.5
AL-069,Houston County,76.7,53,-0.5,77.2
AL-071,Jackson County,70.7,50,-1,71.7
AL-073,Jefferson County,73.8,62,0,73.8
AL-075,Lamar County,74.1,61,-0.2,74.3
AL-077,Lauderdale County,70.9,47,-1,71.9
AL-079,Lawrence County,70.8,40,-1.5,72.3
AL-081,Lee County,73.5,49,-0.9,74.4
AL-083,Limestone County,70.6,39,-1.6,72.2
AL-085,Lowndes County,76.1,69,0.2,75.9
AL-087,Macon County,74.6,48,-1,75.6
AL-089,Madison County,70.8,39,-1.5,72.3
AL-091,Marengo County,76.4,78,0.7,75.7
AL-093,Marion County,71.9,45,-1.1,73
AL-095,Marshall County,71.7,50,-0.8,72.5
AL-097,Mobile County,77.4,73,0.4,77
AL-099,Monroe County,76.1,67,0,76.1
AL-101,Montgomery County,75.6,59,-0.2,75.8
AL-103,Morgan County,71.2,47,-1.2,72.4
AL-105,Perry County,75.2,67,-0.1,75.3
AL-107,Pickens County,75.1,63,-0.1,75.2
AL-109,Pike County,74.6,44,-1.2,75.8
AL-111,Randolph County,72.3,72,0.2,72.1
AL-113,Russell County,74.1,34,-1.5,75.6
AL-115,St. Clair County,73.2,71,0.2,73
AL-117,Shelby County,74,73,0.1,73.9
AL-119,Sumter County,76.4,79,0.7,75.7
AL-121,Talladega County,73.8,76,0.4,73.4
AL-123,Tallapoosa County,73.5,61,-0.2,73.7
AL-125,Tuscaloosa County,74.4,46,-0.9,75.3
AL-127,Walker County,73,49,-0.8,73.8
AL-129,Washington County,76.5,70,0.3,76.2
AL-131,Wilcox County,76.4,74,0.5,75.9
AL-133,Winston County,70.8,37,-1.6,72.4
AZ-001,Apache County,64.7,112,2.4,62.3
AZ-003,Cochise County,74.2,119,2.5,71.7
AZ-005,Coconino County,68,121,3.5,64.5
AZ-007,Gila County,74.8,123,3.8,71
AZ-009,Graham County,75.6,125,3.2,72.4
AZ-011,Greenlee County,70,116,2.5,67.5
AZ-012,La Paz County,88,125,4.4,83.6
AZ-013,Maricopa County,87,125,4.7,82.3
AZ-015,Mohave County,79.1,126,4.8,74.3
AZ-017,Navajo County,66.7,112,2.5,64.2
AZ-019,Pima County,82.4,121,3.4,79
AZ-021,Pinal County,84.5,126,3.9,80.6
AZ-023,Santa Cruz County,73.8,122,2.7,71.1
AZ-025,Yavapai County,75.3,126,4.7,70.6
AZ-027,Yuma County,88.4,121,4.2,84.2
AR-001,Arkansas County,73.8,52,-0.6,74.4
