September 2020 Contiguous U.S. City Average Temperature,,,,,
Units: Degrees Fahrenheit,,,,,
Missing: -99,,,,,
Location ID,Location,Value,Rank,Anomaly (1981-2010 base period),1981-2010 Mean
USW00013876,"Birmingham, Alabama",75.4,61,0.7,74.7
USW00003856,"Huntsville, Alabama",72.5,19,-1.3,73.8
USW00013894,"Mobile, Alabama",76.3,21,-1.4,77.7
USW00013895,"Montgomery, Alabama",77.3,45,0.5,76.8
USW00026451,"Anchorage, Alaska",50.6,55,1.8,48.8
USW00027502,"Barrow, Alaska",35.4,87,3.4,32
USW00026615,"Bethel, Alaska",45.3,44,-0.7,46
USW00026411,"Fairbanks, Alaska",47.6,69,2.5,45.1
USW00025309,"Juneau, Alaska",50.5,53,0.8,49.7
USW00026617,"Nome, Alaska",43.3,84,0.6,42.7
USW00003103,"Flagstaff, Arizona",60.2,90,3.1,57.1
USW00023183,"Phoenix, Arizona",91.2,78,3,88.2
USW00023160,"Tucson, Arizona",85.7,74,4.1,81.6
USW00003125,"Yuma, Arizona",90.2,55,2.3,87.9
USW00013964,"Fort Smith, Arkansas",73.5,31,-0.7,74.2
USW00013963,"Little Rock, Arkansas",73.4,44,0.1,73.3
USW00024213,"Eureka, California",60.7,78,4.3,56.4
USH00043257,"Fresno, California",78.9,119,3.3,75.6
USW00023174,"Los Angeles, California",72.4,68,3.2,69.2
USW00023232,"Sacramento, California",75.8,74,4.1,71.7
USW00023188,"San Diego, California",74.2,77,3.7,70.5
USW00023234,"San Francisco, California",68.2,74,3.9,64.3
USW00023061,"Alamosa, Colorado",56.7,60,1.9,54.8
USW00093037,"Colorado Springs, Colorado",63.7,51,1.8,61.9
USW00023066,"Grand Junction, Colorado",66.9,78,1.1,65.8
USW00093058,"Pueblo, Colorado",65.8,31,0.2,65.6
USW00094702,"Bridgeport, Connecticut",68.1,60,1.7,66.4
USW00014740,"Hartford, Connecticut",64.9,55,1.1,63.8
USW00013781,"Wilmington, Delaware",67.7,37,0.2,67.5
USW00012834,"Daytona Beach, Florida",80.8,78,1.3,79.5
USW00012835,"Fort Myers, Florida",82.8,105,0.7,82.1
USW00013889,"Jacksonville, Florida",78.8,52,0.6,78.2
USH00084570,"Key West, Florida",85.6,117,1.6,84
USW00012839,"Miami, Florida",83.9,70,1.2,82.7
USW00012815,"Orlando, Florida",82,61,1.3,80.7
USH00088758,"Tallahassee, Florida",79,83,0.3,78.7
USW00012842,"Tampa, Florida",82.9,73,0.9,82
USW00012844,"West Palm Beach, Florida",83,78,1.8,81.2
USW00013874,"Atlanta, Georgia",73.8,42,0.1,73.7
USW00003820,"Augusta, Georgia",76.1,53,0.7,75.4
USW00093842,"Columbus, Georgia",76.8,41,-0.1,76.9
USW00003813,"Macon, Georgia",75.2,34,-0.2,75.4
USH00097847,"Savannah, Georgia",78.6,113,1.8,76.8
USC00517166,"Captain Cook, Hawaii",-99,-99,-99,-99
USW00021504,"Hilo, Hawaii",76.8,46,0.3,76.5
USW00022521,"Honolulu Intl. Airport, Hawaii",-99,-99,-99,-99
USC00519397,"Honolulu Zoo, Hawaii",-99,-99,-99,-99
USW00022516,"Kahului, Hawaii",80,52,0.6,79.4
USC00513317,"Kapalua, Hawaii",79,15,-0.1,79.1
USC00515000,"Kula, Hawaii",66.8,12,-0.3,67.1
USW00022536,"Lihue, Hawaii",80.1,55,0.6,79.5
USW00024131,"Boise, Idaho",68.7,75,3.9,64.8
USH00105241,"Lewiston, Idaho",67.6,107,2.9,64.7
USW00024156,"Pocatello, Idaho",60.6,60,1.4,59.2
USW00094846,"Chicago, Illinois",66.3,36,0.6,65.7
USW00014923,"Moline, Illinois",64.7,29,-0.9,65.6
USW00014842,"Peoria, Illinois",65.2,24,-1.3,66.5
USW00094822,"Rockford, Illinois",63.3,28,-0.7,64
USW00093822,"Springfield, Illinois",66.5,51,-0.5,67
USW00093817,"Evansville, Indiana",70,39,0.4,69.6
USW00014827,"Fort Wayne, Indiana",64,36,-0.5,64.5
USW00093819,"Indianapolis, Indiana",67.8,45,0.7,67.1
USW00014848,"South Bend, Indiana",64.2,81,1.4,62.8
USW00014933,"Des Moines, Iowa",64.4,22,-1.7,66.1
USW00094908,"Dubuque, Iowa",60.3,15,-1.8,62.1
USW00014943,"Sioux City, Iowa",63,30,-0.5,63.5
USW00094910,"Waterloo, Iowa",60.9,19,-1.8,62.7
USW00013985,"Dodge City, Kansas",68.4,29,-0.6,69
USW00023065,"Goodland, Kansas",63.6,43,-0.9,64.5
USW00013996,"Topeka, Kansas",67.4,25,-1.3,68.7
USW00003928,"Wichita, Kansas",68.7,19,-2.4,71.1
USW00093820,"Lexington, Kentucky",66.8,31,-1.6,68.4
USW00093821,"Louisville, Kentucky",71.3,39,0.1,71.2
USW00003816,"Paducah, Kentucky",71.1,41,0.9,70.2
USH00160549,"Baton Rouge, Louisiana",78.7,88,0.6,78.1
USW00013942,"Monroe, Louisiana",77.8,58,1.3,76.5
USW00012916,"New Orleans, Louisiana",79.7,34,-0.1,79.8
USW00013957,"Shreveport, Louisiana",77.6,49,0.5,77.1
USW00014606,"Bangor, Maine",60.1,50,1.1,59
USW00014607,"Caribou, Maine",57.1,68,2,55.1
USH00176905,"Portland, Maine",63.3,117,2.8,60.5
USW00093721,"Baltimore, Maryland",67.6,27,-0.6,68.2
USW00093720,"Salisbury, Maryland",70.2,59,1.8,68.4
USH00190736,"Blue Hill, Massachusetts",63.7,104,1.2,62.5
USW00014739,"Boston, Massachusetts",65.8,66,1.2,64.6
USW00094746,"Worcester, Massachusetts",63.2,56,1.8,61.4
USW00094847,"Detroit, Michigan",63.4,23,-0.8,64.2
USW00014826,"Flint, Michigan",60.1,24,-1,61.1
USW00094860,"Grand Rapids, Michigan",61.5,17,-1.1,62.6
USW00014840,"Muskegon, Michigan",62.8,69,0.2,62.6
USW00014847,"Sault Ste. Marie, Michigan",56.2,49,-1.2,57.4
USW00014913,"Duluth, Minnesota",54.6,27,-1.4,56
USW00014918,"International Falls, Minnesota",52.6,44,-0.8,53.4
USH00215435,"Minneapolis-St. Paul, Minnesota",61.3,58,-1.1,62.4
USW00014925,"Rochester, Minnesota",59.2,49,-0.6,59.8
USW00014922,"St. Paul, Minnesota",61.3,33,-1.2,62.5
USW00003940,"Jackson, Mississippi",77.6,40,1.2,76.4
USW00093862,"Tupelo, Mississippi",74.8,35,0.9,73.9
USW00003945,"Columbia, Missouri",68.3,19,-0.5,68.8
USW00003947,"Kansas City, Missouri",66.5,14,-1.6,68.1
USW00013995,"Springfield, Missouri",69.7,47,0.5,69.2
USW00013994,"St. Louis, Missouri",70.9,38,-0.2,71.1
USW00024033,"Billings, Montana",62.9,56,2.7,60.2
USW00094008,"Glasgow, Montana",60.2,51,1.3,58.9
USH00243751,"Great Falls, Montana",58.9,105,3.1,55.8
USW00024144,"Helena, Montana",60.9,68,3.3,57.6
USW00024153,"Missoula, Montana",59.2,56,2.2,57
USW00014935,"Grand Island, Nebraska",65.2,40,-0.2,65.4
USW00014941,"Norfolk, Nebraska",64,44,0.5,63.5
USW00024023,"North Platte, Nebraska",63.7,42,0.8,62.9
USW00014942,"Omaha, Nebraska",65.6,27,-1.2,66.8
USW00024028,"Scottsbluff, Nebraska",62.6,71,0,62.6
USW00023185,"Carson City, Nevada",69.4,80,3.7,65.7
USW00024121,"Elko, Nevada",62.9,107,3.4,59.5
USW00023154,"Ely, Nevada",60.1,78,2.7,57.4
